id,name,movietitle,dialogues,budget,source
1,The Order of the Phoenix,Harry Potter and the Order of the Phoenix,I'm not really hungry. I think I'll go to bed.,"$150,000,000 ",denum
2,Ministry Interior,Harry Potter and the Deathly Hallows Part 1,"In case you're interested, I'm Reg Cattermole, Magical Maintenance Department.","$200,000,000 ",denum
96,Dark Lord Ascending,Harry Potter and the Deathly Hallows Part 1,"One hears many things, my lord. Whether the truth is among them is not clear.","$200,000,000 ",denum
8,Perilous Potions,Harry Potter and the Half-Blood Prince,And a bloody strong one at that.,"$250,000,000 ",denum
46,Facts and Feathers,Harry Potter and the Philosopher's Stone,"You better take this.  Careful now, it's comin' back.  Eh, not bad, Potter, you'd make a fair beater... Uh-oh.","$125,000,000 ",denum
52,Quidditch,Harry Potter and the Philosopher's Stone,"The bludgers are up...followed by the Golden Snitch. Remember, the snitch is worth 150 points. The seeker who catches the Snitch ends the game.","$125,000,000 ",denum
1,Dobby's Warning,Harry Potter and the Chamber of Secrets,Your family?,"$100,000,000 ",denum
1,Godric's Hollow,Harry Potter and the Deathly Hallows Part 1,"Happy Christmas, Hermione.","$200,000,000 ",denum
4,King's Cross,Harry Potter and the Deathly Hallows Part 2,"I feared that you would make the same mistake I made, that you would be intoxicated by the power the Hallows promise their possessor. But I crave your pardon, Harry. It's clear to me now, as it should have been all along, that you are the better man.","$250,000,000 ",denum
4,Occlumency,Harry Potter and the Order of the Phoenix,"Many of our previous headmasters and mistresses have portraits in other institutions, allowing them to move between them.","$150,000,000 ",denum
6,Snape's Visitors,Harry Potter and the Half-Blood Prince,Take out your wand.,"$250,000,000 ",denum
3,Ministry Interior,Harry Potter and the Deathly Hallows Part 1,I didn't.,"$200,000,000 ",denum
23,Cornelius Fudge,Harry Potter and the Chamber of Secrets,You think so?,"$100,000,000 ",denum
